iter	Passed	Remaining
416	536	750
417	538	749
418	539	748
419	540	746
420	541	744
421	542	743
422	543	741
423	544	740
424	546	738
425	547	737
426	548	735
427	549	734
428	550	732
429	551	731
430	552	729
431	553	728
432	554	726
433	555	725
434	556	723
435	558	721
436	559	720
437	560	718
438	561	717
439	562	716
440	563	714
441	564	713
442	565	711
443	566	709
444	567	708
445	569	707
446	571	707
447	572	705
448	573	704
449	574	702
450	575	701
451	576	699
452	577	697
453	579	696
454	580	695
455	581	693
456	582	692
457	584	691
458	585	689
459	586	688
460	587	686
461	588	685
462	589	684
463	591	682
464	592	681
465	594	680
466	595	679
467	596	677
468	597	676
469	598	674
470	599	673
471	600	671
472	601	669
473	602	668
474	603	667
475	604	665
476	605	664
477	607	663
478	608	661
479	609	660
480	610	658
481	611	657
482	612	655
483	613	654
484	614	652
485	615	651
486	616	649
487	617	648
488	618	646
489	619	644
490	621	643
491	622	642
492	623	640
493	624	639
494	625	637
495	626	636
496	627	634
497	628	633
498	629	632
499	630	630
500	631	629
501	632	627
502	633	625
503	634	624
504	635	623
505	636	621
506	637	620
507	638	618
508	639	617
509	640	615
510	641	614
511	642	612
512	643	611
513	644	609
514	645	608
515	646	606
516	648	605
517	648	603
518	649	602
519	650	600
520	651	599
521	652	597
522	653	596
523	654	594
524	655	593
525	656	591
526	657	590
527	659	589
528	660	587
529	661	586
530	662	585
531	663	583
532	665	582
533	666	581
534	667	580
535	668	578
536	669	577
537	671	576
538	672	575
539	673	573
540	675	572
541	676	571
542	677	570
543	678	568
544	679	567
545	680	566
546	681	564
547	682	563
548	683	561
549	684	560
550	685	558
551	686	557
552	687	555
553	688	554
554	689	552
555	690	551
556	692	550
557	693	549
558	694	547
559	695	546
560	696	545
561	697	543
562	698	542
563	699	540
564	700	539
565	701	537
566	702	536
567	703	535
568	704	533
569	705	532
570	706	530
571	707	529
572	708	528
573	709	526
574	711	525
575	712	524
576	713	523
577	714	521
578	715	520
579	716	518
580	718	517
581	719	516
582	721	515
583	722	514
584	724	514
585	725	512
586	726	511
587	727	509
588	728	508
589	729	506
590	730	505
591	731	503
592	732	502
593	733	501
594	734	499
595	734	498
596	735	496
597	736	495
598	737	493
599	738	492
600	738	490
601	739	489
602	740	487
603	741	486
604	742	484
605	743	483
606	744	482
607	746	480
608	747	479
609	748	478
610	749	477
611	750	475
612	751	474
613	752	472
614	753	471
615	754	470
616	755	468
617	755	467
618	756	465
619	757	464
620	758	462
621	759	461
622	760	459
623	761	458
624	761	457
625	762	455
626	763	454
627	764	453
628	765	451
629	766	450
630	767	448
631	768	447
632	769	446
633	770	445
634	772	443
635	773	442
636	774	441
637	775	440
638	777	439
639	778	437
640	779	436
641	780	435
642	781	433
643	781	432
644	782	430
645	783	429
646	784	428
647	785	426
648	786	425
649	786	423
650	788	422
651	789	421
652	790	419
653	791	418
654	792	417
655	793	415
656	794	414
657	795	413
658	796	411
659	797	410
660	798	409
661	799	407
662	800	406
663	801	405
664	802	404
665	803	402
666	804	401
667	805	400
668	806	398
669	807	397
670	808	396
671	809	395
672	810	393
673	811	392
674	812	391
675	813	389
676	814	388
677	815	387
678	816	386
679	817	384
680	818	383
681	819	381
682	819	380
683	820	379
684	821	377
685	822	376
686	823	375
687	824	373
688	825	372
689	826	371
690	827	369
691	828	368
692	829	367
693	830	366
694	831	365
695	832	363
696	833	362
697	835	361
698	836	360
699	837	358
700	838	357
701	838	356
702	839	354
703	840	353
704	841	352
705	841	350
706	843	349
707	844	348
708	845	346
709	846	345
710	847	344
711	848	343
712	849	341
713	850	340
714	851	339
715	852	338
716	853	336
717	854	335
718	855	334
719	856	333
720	857	331
721	858	330
722	859	329
723	860	327
724	861	326
725	861	325
726	862	323
727	863	322
728	864	321
729	865	320
730	866	318
731	867	317
732	867	316
733	868	314
734	869	313
735	870	312
736	871	310
737	872	309
738	873	308
739	874	307
740	875	305
741	876	304
742	876	303
743	877	302
744	878	300
745	879	299
746	880	298
747	881	296
748	882	295
749	883	294
750	884	293
751	885	292
752	886	290
753	887	289
754	888	288
755	889	287
756	890	285
757	891	284
758	892	283
759	893	282
760	894	280
761	895	279
762	896	278
763	897	277
764	898	276
765	899	274
766	900	273
767	901	272
768	902	271
769	903	269
770	904	268
771	905	267
772	906	266
773	907	264
774	908	263
775	909	262
776	909	261
777	910	259
778	911	258
779	912	257
780	912	256
781	913	254
782	914	253
783	915	252
784	916	250
785	916	249
786	917	248
787	918	247
788	919	245
789	920	244
790	921	243
791	922	242
792	923	240
793	924	239
794	924	238
795	925	237
796	926	235
797	927	234
798	928	233
799	929	232
800	930	231
801	930	229
802	931	228
803	932	227
804	933	226
805	934	224
806	934	223
807	935	222
808	936	221
809	937	219
810	938	218
811	939	217
812	939	216
813	940	214
814	941	213
815	942	212
816	943	211
817	944	210
818	944	208
819	945	207
820	946	206
821	947	205
822	948	203
823	948	202
824	949	201
825	950	200
826	951	199
827	952	197
828	953	196
829	954	195
830	955	194
831	955	192
832	956	191
833	957	190
834	958	189
835	959	188
836	959	186
837	960	185
838	961	184
839	962	183
840	963	182
841	963	180
842	964	179
843	965	178
844	966	177
845	967	176
846	968	174
847	969	173
848	970	172
849	971	171
850	972	170
851	973	169
852	973	167
853	974	166
854	975	165
855	976	164
856	977	163
857	977	161
858	978	160
859	980	159
860	981	158
861	982	157
862	983	156
863	984	154
864	985	153
865	985	152
866	986	151
867	987	150
868	988	148
869	989	147
870	989	146
871	990	145
872	991	144
873	992	143
874	993	141
875	994	140
876	995	139
877	996	138
878	997	137
879	998	136
880	999	135
881	1000	133
882	1001	132
883	1002	131
884	1003	130
885	1004	129
886	1005	128
887	1005	126
888	1006	125
889	1008	124
890	1009	123
891	1010	122
892	1011	121
893	1012	120
894	1013	118
895	1014	117
896	1015	116
897	1016	115
898	1017	114
899	1018	113
900	1019	111
901	1020	110
902	1021	109
903	1022	108
904	1023	107
905	1024	106
906	1025	105
907	1026	104
908	1027	102
909	1029	101
910	1030	100
911	1030	99
912	1031	98
913	1032	97
914	1033	96
915	1034	94
916	1036	93
917	1037	92
918	1038	91
919	1039	90
920	1039	89
921	1040	88
922	1041	86
923	1042	85
924	1043	84
925	1044	83
926	1045	82
927	1046	81
928	1047	80
929	1048	78
930	1049	77
931	1050	76
932	1051	75
933	1052	74
934	1052	73
935	1053	72
936	1054	70
937	1055	69
938	1056	68
939	1057	67
940	1057	66
941	1058	65
942	1059	64
943	1060	62
944	1061	61
945	1062	60
946	1063	59
947	1064	58
948	1065	57
949	1066	56
950	1067	55
951	1068	53
952	1069	52
953	1070	51
954	1071	50
955	1072	49
956	1073	48
957	1074	47
958	1075	45
959	1076	44
960	1078	43
961	1079	42
962	1080	41
963	1081	40
964	1082	39
965	1083	38
966	1084	37
967	1085	35
968	1086	34
969	1087	33
970	1088	32
971	1089	31
972	1090	30
973	1090	29
974	1091	27
975	1092	26
976	1094	25
977	1095	24
978	1096	23
979	1097	22
980	1098	21
981	1099	20
982	1100	19
983	1101	17
984	1101	16
985	1102	15
986	1103	14
987	1104	13
988	1105	12
989	1106	11
990	1106	10
991	1107	8
992	1108	7
993	1109	6
994	1110	5
995	1111	4
996	1112	3
997	1112	2
998	1114	1
999	1115	0
